17:29:07: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
17:29:08: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 146] Connected!
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change Altitude: 1
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change Altitude: -1
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 63.43494882292201
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 116.56505117707799
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 45.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 63.43494882292201
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 26.565051177077994
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 45.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 45.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: 135.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -26.565051177077994
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -45.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -45.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -135.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -63.43494882292201
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -90.0
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -116.56505117707799
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -45.00000000000005
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -63.43494882292201
17:29:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 76] Command ouput: Change YAW: -90.0
17:29:09: [ERROR] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Queue read failed: 
